institution,urls,articletype,retractiondate,retractiondoi,originalpaperdate,originalpaperdoi,retractionnature,reason,notes,rorids,rornames,rorcountries,rorregions,container,publisher,prefix,funder
"['Unitat de Biofisica, Departament de Bioquimica i Biologia Molecular, Facultat de Medicina, Universitat Autònoma de Barcelona, 08193 Bellaterra, Spain']",['http://retractionwatch.com/2016/06/03/authors-reused-images-in-three-papers-concludes-journal-probe/'],journal-article,5/20/2016 0:00,10.1074/jbc.A116.204376,8/30/2012 0:00,10.1074/jbc.M204376200,Retraction,"['+Duplication of/in Image' '+Error in Image'
 '+Falsification/Fabrication of Data'
 '+Investigation by Journal/Publisher']",None,[],[],[],[],Journal of Biological Chemistry,Elsevier BV,10.1016,None
"['Institute of Psychiatry, University of London']",['http://retractionwatch.com/?s=hans+eysenck'],journal-article,7/4/2020 0:00,10.1177/0020764020925650,6/1/1960 0:00,10.1177/002076406000600104,Expression of concern,"['+Concerns/Issues About Data'
 '+Concerns/Issues about Results and/or Conclusions'
 '+Investigation by Journal/Publisher']",None,[],[],[],[],International Journal of Social Psychiatry,SAGE Publications,10.1177,None
"['Xinxiang Central Hospital, The Fourth Clinical College of Xinxiang Medical University, Xinxiang Henan 453000, China'
 'School of Public Health, Southwest Medical University, Luzhou Sichuan 646000, China']",['https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/'],journal-article,6/21/2023 0:00,10.1155/2023/9757192,9/19/2022 0:00,10.1155/2022/8012018,Retraction,"['+Concerns/Issues About Data'
 '+Concerns/Issues about Human Subject Welfare'
 '+Concerns/Issues about Referencing/Attributions'
 '+Concerns/Issues with Peer Review' '+Investigation by Journal/Publisher'
 '+Investigation by Third Party'
 '+Lack of IRB/IACUC Approval and/or Compliance'
 '+Unreliable Results and/or Conclusions']",None,['https://ror.org/006zn6z18'],[None],['China'],['Henan'],BioMed Research International,Wiley,10.1155,Xinxiang Medical University
"['Department of Anesthesiology, The 1st Hospital of China Medical University, Shenyang, Liaoning 110000, China'
 'Cancer Hospital of China Medical University, Liaoning Cancer Hospital & Institute, Shenyang, Liaoning 110801, China']","['https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/'
 'https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/'
 'https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than-8000-paper-mill-articles/']",journal-article,7/19/2023 0:00,10.1155/2023/9840276,3/11/2022 0:00,10.1155/2022/1080858,Retraction,"['+Concerns/Issues About Data'
 '+Concerns/Issues about Results and/or Conclusions'
 '+Concerns/Issues about Referencing/Attributions'
 '+Concerns/Issues with Peer Review'
 '+Informed/Patient Consent - None/Withdrawn'
 '+Investigation by Journal/Publisher' '+Investigation by Third Party'
 '+Lack of IRB/IACUC Approval and/or Compliance' '+Paper Mill'
 '+Computer-Aided Content or Computer-Generated Content'
 '+Unreliable Results and/or Conclusions']",See also: https://pubpeer.com/publications/C3A79C003397831478E76134B84C35,[],[],[],[],Computational and Mathematical Methods in Medicine,Hindawi Limited,10.1155,None
"['Yantai Institute of Coastal Zone Research, Chinese Academy of Sciences, China']",['http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/'],proceedings-article,10/14/2010 0:00,10.1109/IITA-GRS.2010.5604004,8/28/2010 0:00,10.1109/IITA-GRS.2010.5604004,Retraction,['+Notice - Limited or No Information'],None,[],[],[],[],2010 Second IITA International Conference on Geoscience and Remote Sensing,IEEE,10.1109,None
"['Department of Chemistry and Biochemistry, Florida Atlantic University, Boca Raton, FL, USA'
 'Department of Biology, University of Texas Arlington, Arlington, TX, USA']",[],journal-article,9/21/2017 0:00,10.1080/00914037.2017.1382190,7/24/2017 0:00,10.1080/00914037.2017.1354201,Retraction,['+Duplication of Content through Error by Journal/Publisher'],None,[],[],[],[],International Journal of Polymeric Materials and Polymeric Biomaterials,Informa UK Limited,10.1080,None
"['Department of Nephrology, The Affiliated Hospital of Qingdao University, Qingdao, China'
 'Department of Dermatology, The Affiliated Hospital of Qingdao University, Qingdao, China']","['http://retractionwatch.com/2021/03/08/journal-flags-a-dozen-papers-as-likely-paper-mill-products-a-year-after-sleuths-identified-them/'
 'http://retractionwatch.com/2021/08/30/publisher-retracting-more-than-30-articles-from-paper-mills/']",journal-article,9/2/2021 0:00,10.1177/20587384211040403,9/10/2018 0:00,10.1177/2058738418795940,Retraction,"['+Concerns/Issues About Data' '+Duplication of/in Image'
 '+Investigation by Journal/Publisher' '+Investigation by Third Party'
 '+Paper Mill' '+Unreliable Results and/or Conclusions'
 '+Upgrade/Update of Prior Notice(s)']",see also: https://pubpeer.com/publications/1203D7A7B4BCAE993DABE0477227F8;,[],[],[],[],International Journal of Immunopathology and Pharmacology,SAGE Publications,10.1177,Shandong Province Science and Technology Development Project
"['Emam Reza Hospital, Birjand University of Medical Sciences, Birjand, IR Iran'
 'Department of Urology, Emam Reza Hospital, Birjand University of Medical Sciences, Birjand, IR Iran']",['http://retractionwatch.com/2016/11/18/scientific-publisher-hacked-affecting-65-papers/'],journal-article,3/3/2016 0:00,10.5812/ircmj.43586,12/22/2015 0:00,10.5812/ircmj.26095,Retraction,"['+Criminal Proceedings' '+False/Forged Authorship' '+Fake Peer Review'
 '+Investigation by Company/Institution'
 '+Investigation by Journal/Publisher'
 '+Misconduct - Official Investigation(s) and/or Finding(s)'
 '+Misconduct by Author']",None,['https://ror.org/01h2hg078'],[None],['Iran'],['South Khorasan Province'],Iranian Red Crescent Medical Journal,DoNotEdit,10.32592,None
"['Department of Industrial Engineering, Aliabad Katoul Branch, Islamic Azad University, Aliabad Katoul, Iran'
 'Department of Industrial Engineering, Sari Branch, Islamic Azad University, Sari, Iran']",['https://retractionwatch.com/2024/08/22/sleuths-spur-cleanup-at-journal-with-nearly-140-retractions-and-counting/'],journal-article,7/6/2024 0:00,10.1007/s11356-024-34277-8,7/28/2022 0:00,10.1007/s11356-022-21840-4,Retraction,"['+Concerns/Issues about Referencing/Attributions' '+Fake Peer Review'
 '+Investigation by Journal/Publisher' '+Objections by Author(s)'
 '+Unreliable Results and/or Conclusions']",None,['https://ror.org/01sa5tb56'],[None],['Iran'],['Golestan'],Environmental Science and Pollution Research,Springer Science and Business Media LLC,10.1007,None
"['Department of Obstetrics and Gynecology, The First Affiliated Hospital of Jiamusi University, Heilongjiang Province 154002, P.R. China'
 'Department of Anesthesiology, The First Affiliated Hospital of Jiamusi University, Heilongjiang Province 154002, P.R. China'
 'Department of Gynaecology and Obstetrics, People’s Hospital of Zoucheng, Jining 273500, Shandong Province, P.R. China']",[],journal-article,11/23/2022 0:00,10.1042/BSR-2019-0680_RET,10/11/2019 0:00,10.1042/BSR20190680,Retraction,['+Results Not Reproducible' '+Unreliable Results and/or Conclusions'],None,['https://ror.org/01djnt473'],[],[],[],Bioscience Reports,Portland Press Ltd.,10.1042,None
"['Department of Pharmacology, Amar Shaheed Baba Ajit Singh Jujhar Singh Memorial College of Pharmacy, Bela, Rupnagar, Punjab 140111, India'
 'RKSD College of Pharmacy, Kaithal, Haryana 136027, India'
 'Chitkara College of Pharmacy, Chitkara University, Rajpura, Punjab 140401, India'
 'Department of Neurosurgery, College of Medicine, Penn State Health Milton S. Hershey Medical Center, The Pennsylvania State University, State College, PA 17033-0850, USA'
 'School of Medical and Allied Sciences, GD Goenka University, Sohna, Gurugram, Haryana 122102, India'
 'University Institute of Pharma Sciences, Chandigarh University, Gharuan, Mohali, Punjab 140413, India']","['https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/'
 'https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/'
 'https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than-8000-paper-mill-articles/']",journal-article,12/13/2023 0:00,10.1155/2023/9850819,8/23/2022 0:00,10.1155/2022/6874281,Retraction,"['+Concerns/Issues About Data'
 '+Concerns/Issues about Results and/or Conclusions'
 '+Concerns/Issues about Referencing/Attributions'
 '+Concerns/Issues with Peer Review' '+Investigation by Journal/Publisher'
 '+Investigation by Third Party' '+Paper Mill'
 '+Computer-Aided Content or Computer-Generated Content'
 '+Unreliable Results and/or Conclusions']",None,[],[],[],[],Evidence-Based Complementary and Alternative Medicine,Hindawi Limited,10.1155,None
"['School of Foreign Languages, Sanjiang University, Nanjing, Jiangsu 210000, China']","['https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/'
 'https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/'
 'https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than-8000-paper-mill-articles/']",journal-article,1/24/2024 0:00,10.1155/2024/9791302,7/29/2022 0:00,10.1155/2022/3775658,Retraction,"['+Concerns/Issues About Data'
 '+Concerns/Issues about Results and/or Conclusions'
 '+Concerns/Issues about Referencing/Attributions'
 '+Concerns/Issues with Peer Review'
 '+Informed/Patient Consent - None/Withdrawn'
 '+Investigation by Journal/Publisher' '+Investigation by Third Party'
 '+Lack of IRB/IACUC Approval and/or Compliance' '+Paper Mill'
 '+Computer-Aided Content or Computer-Generated Content'
 '+Unreliable Results and/or Conclusions']",None,['https://ror.org/03wvwbe92'],[None],['China'],['Jiangsu'],Journal of Sensors,Hindawi Limited,10.1155,None
"['Department of Software Engineering, College of Computer & Information Sciences, King Saud University, P.O. Box 51178, Riyadh 11543, Kingdom of Saudi Arabia']",['http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/'],proceedings-article,6/17/2010 0:00,10.1109/ICCET.2010.5486188,4/16/2010 0:00,10.1109/ICCET.2010.5486188,Retraction,['+Notice - Limited or No Information'],None,[],[],[],[],2010 2nd International Conference on Computer Engineering and Technology,IEEE,10.1109,None
"['School of Management, Xiamen University, Xiamen, China']",['http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/'],proceedings-article,6/16/2011 0:00,10.1109/ICEBEG.2011.5882035,5/6/2011 0:00,10.1109/ICEBEG.2011.5882035,Retraction,"['+Breach of Policy by Author' '+Date of Article and/or Notice Unknown'
 '+Notice - Limited or No Information']","Date of retraction unknown, estimated from conference date.",[],[],[],[],2011 International Conference on E-Business and E-Government (ICEE),IEEE,10.1109,None
"['Department of Cardiology, China-Japan Union Hospital of Jilin University, Changchun, China'
 'Outpatient Department of Pediatrics, The First Hospital of Jilin University, Changchun, China']",[],journal-article,8/10/2021 0:00,10.1080/21691401.2021.1951976,6/15/2019 0:00,10.1080/21691401.2019.1640711,Retraction,"['+Duplication of/in Image' '+Error in Data'
 '+Investigation by Third Party' '+Paper Mill' '+Results Not Reproducible']",see also: https://pubpeer.com/publications/3CF64A32A14918209633958C1D554F,[],[],[],[],"Artificial Cells, Nanomedicine, and Biotechnology",Informa UK Limited,10.1080,None
"['College of Architecture and Urban-Rural Planning, Sichuan Agricultural University, Chengdu, 611830, Sichuan, China']",['http://retractionwatch.com/2021/09/28/springer-nature-slaps-more-than-400-papers-with-expressions-of-concern-all-at-once/'],journal-article,12/6/2021 0:00,10.1007/s12517-021-09194-6,8/18/2021 0:00,10.1007/s12517-021-08125-9,Retraction,"['+Fake Peer Review' '+Investigation by Journal/Publisher'
 '+Computer-Aided Content or Computer-Generated Content' '+Rogue Editor'
 '+Upgrade/Update of Prior Notice(s)']",None,[],[],[],[],Arabian Journal of Geosciences,Springer Science and Business Media LLC,10.1007,None
"['Departments of Anatomy and of Biochemistry and Biophysics, Howard Hughes Medical Institute, University of California, San Francisco, CA 94143–0452, USA'
 'Department of Molecular and Cell Biology, University of California, Berkeley, CA 14720–3200, USA']","['https://retractionwatch.com/2023/08/31/stanford-president-retracts-two-science-papers-following-investigation/'
 'https://retractionwatch.com/?s=Marc+Tessier-Lavigne']",journal-article,8/31/2023 0:00,10.1126/science.adk1521,3/9/2001 0:00,10.1126/science.1059391,Retraction,"['+Investigation by Company/Institution' '+Manipulation of Images'
 '+Unreliable Results and/or Conclusions'
 '+Upgrade/Update of Prior Notice(s)']",None,['https://ror.org/043mz5j54' 'https://ror.org/02fsfnf94'],[None],['United States' 'Russia'],['California' 'Novosibirsk Oblast'],Science,American Association for the Advancement of Science (AAAS),10.1126,None
"['Department of Clinical Psychology, Institute of Psychiatry (IOP), Kolkata, India'
 'Department of Psychiatry, National Institute of Mental Health and Neurosciences (NIMHANS), Bengaluru, India']","['https://retractionwatch.com/retracted-coronavirus-covid-19-papers/'
 'http://retractiondatabase.org/RetractionSearch.aspx#?auth%3dDebanjan%2bBanerjee']",journal-article,1/4/2023 0:00,10.3389/fpubh.2022.1124835,12/10/2020 0:00,10.3389/fpubh.2020.604440,Retraction,['+Fake Peer Review'],None,[],[],[],[],Frontiers in Public Health,Frontiers Media SA,10.3389,None
"['School of Chemical Engineering and Analytical Science, The University of Manchester, Manchester, UK'
 'Soil and Terrestrial Environmental Physics, Department of Environmental Systems Science, ETH Zurich, Zurich, Switzerland'
 'Henry Moseley X-ray Imaging Facility, School of Materials, The University of Manchester, Manchester, UK']",[],journal-article,11/8/2020 0:00,10.1002/wrcr.24913,5/7/2018 0:00,10.1029/2018WR022614,Retraction,"['+Concerns/Issues About Data' '+Concerns/Issues About Image'
 '+Investigation by Company/Institution' '+Objections by Author(s)'
 '+Unreliable Data' '+Upgrade/Update of Prior Notice(s)']",None,['https://ror.org/027m9bs27'],[None],['United Kingdom'],['England'],Water Resources Research,American Geophysical Union (AGU),10.1029,Leverhulme Trust
"['Departments of Pediatrics, the Pharmacology, Hamad General Hospital, Doha'
 'Department of Pediatrics, Alexandria University Children’s Hospital, Alexandria']",[],journal-article,3/1/2014 0:00,10.1097/MPG.0000000000000341,8/1/2012 0:00,10.1097/MPG.0b013e318253b80a,Retraction,['+Error in Data' '+Error in Methods'],None,['https://ror.org/00mzz1w90'],[None],['Egypt'],['Alexandria'],Journal of Pediatric Gastroenterology and Nutrition,Wiley,10.1002,None
"['School of Civil Engineering, Universiti Sains Malaysia, 14300 Nibong Tebal, Seberang Perai Selatan, P. Penang, Malaysia'
 'Department of Civil Engineering, K.N. Toosi University of Technology, No. 1346, ValiAsr St., 19697 Tehran, Iran']",[],journal-article,3/12/2014 0:00,10.1016/j.apm.2014.01.010,4/21/2012 0:00,10.1016/j.apm.2012.03.048,Retraction,['+Duplication of/in Article'],None,[],[],[],[],Applied Mathematical Modelling,Elsevier BV,10.1016,None
"['A-Research Lab for Separation Processes, Faculty of Chemical Engineering, Iran University of Science and Technology, Narmak, Tehran, Iran']",[],journal-article,9/23/2016 0:00,10.1016/j.desal.2016.09.013,8/31/2011 0:00,10.1016/j.desal.2011.08.005,Retraction,"['+Duplication of Text' '+Ethical Violations by Author'
 '+Plagiarism of Text']",None,['https://ror.org/01jw2p796'],[None],['Iran'],['Tehran'],Desalination,Elsevier BV,10.1016,None
"['Department of Software Systems Engineering, University of Regina, 3737 Wascana Parkway Regina, Canada']",[],journal-article,3/13/2016 0:00,10.1155/2016/3261602,4/27/2010 0:00,10.1155/2010/797405,Retraction,['+Duplication of/in Article' '+Euphemisms for Duplication'],None,[],[],[],[],International Journal of Vehicular Technology,Wiley,10.1155,None
"['Centre for High Energy Physics, University of the Punjab, Lahore 54000, Pakistan'
 'Institute of Physics, Chinese Academy of Sciences, Beijing 100190, China'
 'Centre for Excellence in Solid State Physics, University of the Punjab, Lahore 54000, Pakistan'
 'Nanomaterials Research Group, Physics Division PINSTECH, Nilore, Islamabad 45650, Pakistan'
 'Department of Physics, Forman Christian College, Lahore 54000, Pakistan']",[],journal-article,3/29/2017 0:00,10.3390/nano7040073,4/14/2016 0:00,10.3390/nano6040072,Retraction,"['+Manipulation of Images' '+Objections by Third Party'
 '+Unreliable Results and/or Conclusions']",None,[],[],[],[],Nanomaterials,MDPI AG,10.3390,None
"['University of Waterloo, Waterloo, Ontario']",[],journal-article,12/5/2001 0:00,10.3758/BF03196229,9/1/1999 0:00,10.3758/BF03210834,Retraction,['+Results Not Reproducible'],None,[],[],[],[],Psychonomic Bulletin &amp; Review,Springer Science and Business Media LLC,10.3758,None
"['School of Economics and Management, Southwest Petroleum University, Chengdu, Sichuan Province, China'
 ""Xi'an Bomay Electric Industries Co., Ltd, Xi'an, China""
 'Southwest Petroleum University, Chengdu, Sichuan Province, China'
 'Department of Business Studies, Namal University, Mianwali, Mianwali, Pakistan'
 'Business School, Shanghai Jianqiao University, Shanghai, China'
 'College of Economics and Management, Nanjing University of Aeronautics and Astronautics, Nanjing, PR China'
 'School of Economics, Bahauddin Zakariya University, Multan, Pakistan'
 'Institute of Management Sciences, Bahauddin Zakariya University, Multan, Pakistan']",['https://retractionwatch.com/2022/08/03/exclusive-plos-one-to-retract-more-than-100-papers-for-manipulated-peer-review/'],journal-article,9/14/2022 0:00,10.1371/journal.pone.0274232,4/19/2022 0:00,10.1371/journal.pone.0265515,Retraction,"['+Concerns/Issues About Authorship/Affiliation' '+Conflict of Interest'
 '+Fake Peer Review']",None,[],[],[],[],PLOS ONE,Public Library of Science (PLoS),10.1371,None
"['Department of Foreign Languages China University of Petroleum Beijing, China'
 'School of International Cultural Exchange Central University of Finance and Economics Beijing, China']",['http://retractionwatch.com/2015/06/25/one-publisher-appears-to-have-retracted-thousands-of-meeting-abstracts-yes-thousands/'],proceedings-article,6/16/2011 0:00,10.1109/ICEBEG.2011.5881354,5/6/2011 0:00,10.1109/ICEBEG.2011.5881354,Retraction,"['+Breach of Policy by Author' '+Date of Article and/or Notice Unknown'
 '+Notice - Limited or No Information']","Date of retraction unknown, estimated from conference date.",[],[],[],[],2011 International Conference on E-Business and E-Government (ICEE),IEEE,10.1109,None
"['School of Life Science, Beijing Institute of Technology, Beijing 100081, China'
 'Lab of Visual Health and Safety Protection, China National Institute of Standardization, Beijing 100191, China'
 'Beijing Yangming Zhidao Photoelectric Science and Technology Co., Ltd, Beijing 100102, China'
 'Hangzhou Innovei Technology Co., Ltd, Hangzhou 311199, China'
 'Guangzhou Shirui Electronics Co., Ltd, Guangzhou 510663, China'
 'Najing Technology Co., Ltd, Hangzhou 310052, China'
 'Center of Information Technology “Renato Archer” (CTI), Ministry of Science Technology Innovations and Communications, Brazil'
 'School of Reliability and Systems Engineering, Beihang University, Beijing 100191, China']","['https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/'
 'https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/'
 'https://retractionwatch.com/2023/12/19/hindawi-reveals-process-for-retracting-more-than-8000-paper-mill-articles/']",journal-article,12/29/2023 0:00,10.1155/2023/9769858,10/12/2022 0:00,10.1155/2022/9592009,Retraction,"['+Fake Peer Review' '+Investigation by Journal/Publisher'
 '+Investigation by Third Party' '+Paper Mill'
 '+Unreliable Results and/or Conclusions']",None,['https://ror.org/008bt9x41' 'https://ror.org/02jzypx27'],[None],['China'],['Zhejiang'],Oxidative Medicine and Cellular Longevity,Wiley,10.1155,Research of Thermal Damage and Protection Equipment for Head and Face of Human Body
"['Department of Ecology and Genetics, Limnology, Uppsala University, Uppsala, Sweden']","['http://retractionwatch.com/2016/08/02/high-profile-science-paper-on-fish-and-plastics-may-earn-notice-of-concern/'
 'http://retractionwatch.com/2016/12/02/stolen-data-prompts-science-flag-debated-study-fish-plastics/'
 'http://retractionwatch.com/2017/05/01/remarkable-ever-accepted-says-report-science-retract-study-fish-microplastics/'
 'http://retractionwatch.com/2017/05/03/authors-initiate-retraction-debated-science-pollution-paper/']",journal-article,12/1/2016 0:00,10.1126/science.aah6990,6/3/2016 0:00,10.1126/science.aad8828,Expression of concern,"['+Complaints about Author' '+Concerns/Issues About Data'
 '+Investigation by Company/Institution' '+Investigation by Third Party'
 '+Misconduct by Third Party' '+Results Not Reproducible']",Article later retracted;,[],[],[],[],Science,American Association for the Advancement of Science (AAAS),10.1126,Uppsala University
